nsecode,name,bsecode,per_chg,close,volume
NMDC,Nmdc Limited,526371,5.63,150.2,38840906
BALRAMCHIN,Balrampur Chini Mills Limited,500038,4.68,435.1,16359275
GRANULES,Granules India Limited,532482,4.32,334.4,4735174
BALKRISIND,Balkrishna Industries Limited,502355,4.2,2502.6,510275
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,4.17,1208.55,3511627
MCDOWELL-N,United Spirits Limited,532432,3.48,1065.25,1450831
CONCOR,Container Corporation Of India Limited,531344,3.4,722.85,2836228
LTTS,L&t Technology Services Limited,540115,3.27,4758.35,328756
LALPATHLAB,Dr. Lal Path Labs Ltd.,539524,3.16,2311.3,642778
