nsecode,name,bsecode,per_chg,close,volume
HINDZINC,Hindustan Zinc Limited,500188,7.46,561.65,39406555
GMRAIRPORT,GMR Airports Ltd,532754,6.3,104.34,71679432
NATIONALUM,National Aluminium Company Limited,532234,5.24,278.15,21981929
PNBHOUSING,Pnb Housing Finance Limited,540173,4.1,937.1,3906514
BPCL,Bharat Petroleum Corporation Limited,500547,3.91,365.05,6101145
SAMMAANCAP,Sammaan Capital Ltd,535789,3.5,149.49,20179714
NMDC,Nmdc Limited,526371,3.49,77.94,22392662
HINDALCO,Hindalco Industries Limited,500440,3.37,852.1,8178645
TATASTEEL,Tata Steel Limited,500470,3.31,171.89,41130927
BHEL,Bharat Heavy Electricals Limited,500103,3.13,285.15,12084724
