nsecode,name,bsecode,per_chg,close,volume
BHEL,Bharat Heavy Electricals Limited,500103,10.01,111.05,100869823
HINDCOPPER,Hindustan Copper Limited,513599,5.96,144.85,13124521
TATACOMM,Tata Communications Limited,500483,4.59,1782.15,1977963
GMRINFRA,Gmr Infrastructure Limited,532754,4.42,57.85,32240872
M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,4.04,288.65,5888819
MCDOWELL-N,United Spirits Limited,532432,3.16,1034.2,1504647
BEL,Bharat Electronics Limited,500049,3.13,133.3,20596242
L&TFH,L&t Finance Holdings Limited,533519,3.04,123.7,7781781
POLYCAB,Polycab India Ltd,542652,3.03,4997.2,929778
ESCORTS,Escorts Limited,500495,3.02,2934.05,1059830
