nsecode,name,bsecode,per_chg,close,volume
MAXHEALTH,Max Healthcare Institute Ltd,543220,6.93,1087.45,2753959
BSE,BSE (Bombay stock exchange),20,5.93,4392.45,5170862
MUTHOOTFIN,Muthoot Finance Limited,533398,4.25,2416.45,1242059
SHRIRAMFIN,Shriram Finance Ltd,511218,3.99,667.95,9823834
HDFCLIFE,HDFC Life Insurance Company Ltd,540777,3.75,664.55,2470532
INDIGO,Interglobe Aviation Limited,539448,3.63,4980.55,2103310
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,3.23,586.95,2392413
LAURUSLABS,Laurus Labs Limited,540222,3.23,606.1,1992098
JKCEMENT,Jk Cement Limited,532644,3.16,4639.65,96169
INDHOTEL,The Indian Hotels Company Limited,500850,3.1,810.6,5540032
