bsecode,close,name,nsecode,per_chg,volume
500114,2463.1,Titan Company Limited,TITAN,6.72,3693638.0
532134,163.6,Bank Of Baroda,BANKBARODA,6.2,72557245.0
532809,116.25,Firstsource Solutions Limited,FSL,4.26,8676975.0
532483,296.5,Canara Bank,CANBK,4.0,16406307.0
533309,1867.85,Dalmia Bharat Limited,DALBHARAT,3.62,408062.0
500550,3027.7,Siemens Limited,SIEMENS,3.49,583975.0
500180,1658.8,Hdfc Bank Limited,HDFCBANK,3.46,7205550.0
532343,1035.6,Tvs Motor Company Limited,TVSMOTOR,3.35,1252136.0
500010,2694.65,Housing Development Finance Corporation Limited,HDFC,3.11,4067801.0
505200,3316.7,Eicher Motors Limited,EICHERMOT,3.09,500037.0
500112,544.2,State Bank Of India,SBIN,3.05,32317232.0
