nsecode,name,bsecode,close,per_chg,volume
INDIANB,Indian Bank Ltd,532814,870.7,9.78,17690322
KALYANKJIL,Kalyan Jewellers India Ltd,543278,476.15,7.48,115487371
CDSL,Central Depository Services Ltd,,1431.9,6.34,9178914
PAYTM,One 97 Communications Ltd,543396,1341.8,6.25,6813451
GODREJPROP,Godrej Properties Limited,533150,2133.0,5.08,1296667
BANDHANBNK,Bandhan Bank Ltd,541153,210.0,5.07,20211763
RBLBANK,Rbl Bank Limited,540065,380.65,4.92,9127348
DLF,Dlf Limited,532868,685.75,3.96,11338298
MOTILALOFS,Motilal Oswal Financial Services Limited,532892,979.35,3.91,1344271
JSWENERGY,Jsw Energy Limited,533148,553.45,3.75,2381375
BHEL,Bharat Heavy Electricals Limited,500103,395.25,3.58,11887326
PRESTIGE,Prestige Estates Projects Limited,533274,1733.2,3.54,871915
