nsecode,name,bsecode,per_chg,close,volume
TATACHEM,Tata Chemicals Limited,500770,7.06,1094.25,7243281
AARTIIND,Aarti Industries Limited,524208,5.77,633.1,4809101
LAURUSLABS,Laurus Labs Limited,540222,5.04,435.45,8400112
DIVISLAB,Divi's Laboratories Limited,532488,4.56,3863.5,1249185
HAL,Hindustan Aeronautics Ltd,541154,4.33,2820.65,2160870
BEL,Bharat Electronics Limited,500049,4.09,181.95,52736391
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,4.02,384.15,14436968
DEEPAKNTR,Deepak Nitrite Limited,506401,3.91,2472.4,1731032
IOC,Indian Oil Corporation Limited,530965,3.52,128.05,30770511
HEROMOTOCO,Hero Motocorp Limited,500182,3.35,4067.45,1149831
NMDC,Nmdc Limited,526371,3.3,201.85,31256241
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,3.15,371.15,4919984
