nsecode,name,bsecode,close,per_chg,volume
APLAPOLLO,Apl Apollo Tubes Limited,533758,1941.5,6.71,4251591
NATIONALUM,National Aluminium Company Limited,532234,369.0,5.41,12541474
GRASIM,Grasim Industries Limited,500300,3260.0,5.13,393816
ASHOKLEY,Ashok Leyland Limited,500477,174.55,5.04,47817945
PAYTM,One 97 Communications Ltd,543396,1410.0,4.99,7964165
ABCAPITAL,Aditya Birla Capital Ltd,540691,424.35,4.96,14133770
SHRIRAMFIN,Shriram Finance Ltd,511218,1090.2,4.16,7047761
SIEMENS,Siemens Limited,500550,3900.0,3.72,609663
FEDERALBNK,The Federal Bank  Limited,500469,371.7,3.58,4384044
PNBHOUSING,Pnb Housing Finance Limited,540173,1090.0,3.5,1194896
NAUKRI,Info Edge (india) Limited,532777,1268.8,3.47,937278
NYKAA,FSN E-Commerce Ventures Ltd,543384,344.9,3.45,6931047
BAJAJFINSV,Bajaj Finserv Limited,532978,2096.0,3.3,2850085
