nsecode,name,bsecode,per_chg,close,volume
PNB,Punjab National Bank,532461,8.53,72.55,196952754
GLENMARK,Glenmark Pharmaceuticals Limited,532296,5.86,861.9,4770907
CANBK,Canara Bank,532483,4.57,364.75,14701345
GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited,500670,4.36,653.2,2405066
BANKBARODA,Bank Of Baroda,532134,4.35,208.65,38949196
GRANULES,Granules India Limited,532482,4.16,320.55,8981723
BALRAMCHIN,Balrampur Chini Mills Limited,500038,3.63,415.65,2735442
AUROPHARMA,Aurobindo Pharma Limited,524804,3.59,902.5,5086869
GRASIM,Grasim Industries Limited,500300,3.32,1933.0,2885260
TATACOMM,Tata Communications Limited,500483,3.3,1911.8,1063082
COALINDIA,Coal India Limited,533278,3.29,279.65,17607568
CANFINHOME,Can Fin Homes Limited,511196,3.09,775.05,1052204
ALKEM,Alkem Laboratories Limited,539523,3.01,3744.75,287827
