bsecode,close,name,nsecode,per_chg,volume
500850,207.3,The Indian Hotels Company Limited,INDHOTEL,6.83,15038951.0
500251,1143.8,Trent Limited,TRENT,6.09,757000.0
500480,1000.35,Cummins India Limited,CUMMINSIND,5.81,1044481.0
533273,875.55,Oberoi Realty Limited,OBEROIRLTY,5.18,694712.0
532848,273.15,Delta Corp Limited,DELTACORP,4.98,4143873.0
535755,278.35,Aditya Birla Fashion And Retail Limited,ABFRL,4.52,4144465.0
500049,222.45,Bharat Electronics Limited,BEL,4.44,10081755.0
540750,222.8,Indian Energy Exchange Ltd,IEX,4.01,11567495.0
532819,4133.8,Mindtree Limited,MINDTREE,3.43,916944.0
512599,1656.55,Adani Enterprises Limited,ADANIENT,3.43,1498176.0
