nsecode,name,bsecode,per_chg,close,volume
TRENT,Trent Limited,500251,18.86,3607.5,5846891
CANBK,Canara Bank,532483,5.89,552.15,18728266
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,5.44,377.65,8656320
MFSL,Max Financial Services Limited,500271,5.18,960.25,7019769
ABCAPITAL,Aditya Birla Capital Ltd,540691,4.14,187.6,13546582
CANFINHOME,Can Fin Homes Limited,511196,4.02,850.95,3220370
ABB,Abb India Limited,500002,3.91,4575.1,281178
SBIN,State Bank Of India,500112,3.84,675.25,41696232
DLF,Dlf Limited,532868,3.78,827.45,10550511
INDHOTEL,The Indian Hotels Company Limited,500850,3.67,524.75,6135635
L&TFH,L&t Finance Holdings Limited,533519,3.49,176.25,8363762
PFC,Power Finance Corporation Limited,532810,3.3,469.0,11983832
ABFRL,Aditya Birla Fashion And Retail Limited,535755,3.18,262.8,9375464
PIDILITIND,Pidilite Industries Limited,500331,3.11,2695.85,1061071
GMRINFRA,Gmr Infrastructure Limited,532754,3.01,90.8,63741860
