nsecode,name,bsecode,per_chg,close,volume
SHRIRAMFIN,Shriram Finance Ltd,511218,7.67,1062.9,14297519
GLENMARK,Glenmark Pharmaceuticals Limited,532296,5.11,2225.8,1554898
PFC,Power Finance Corporation Limited,532810,4.93,412.15,10244278
BANDHANBNK,Bandhan Bank Ltd,541153,4.67,182.26,8931139
MOTHERSON,Samvardhana Motherson International Ltd,517334,4.6,123.41,20469615
CGPOWER,CG Power and Industrial Solutions Ltd,500093,4.39,728.2,3876241
TVSMOTOR,Tvs Motor Company Limited,532343,4.34,3785.1,957425
PETRONET,Petronet Lng Limited,532522,4.15,290.1,11888834
UNITDSPR,United Spirits Ltd,532432,3.78,1407.1,747118
JINDALSTEL,Jindal Steel Ltd,532286,3.77,1187.2,1189789
GMRAIRPORT,GMR Airports Ltd,532754,3.76,95.53,14065830
RBLBANK,Rbl Bank Limited,540065,3.52,308.4,4247160
ASTRAL,Astral Ltd,532830,3.41,1660.7,818683
BSE,BSE (Bombay stock exchange) Ltd,20,3.31,2860.6,5240537
ADANIENSOL,Adani Energy Solutions Ltd,539254,3.28,1013.6,2120819
AUROPHARMA,Aurobindo Pharma Limited,524804,3.09,1285.9,2197827
