bsecode,close,name,nsecode,per_chg,volume
541154,1484.9,Hindustan Aeronautics Ltd,HAL,5.72,1913371.0
532234,121.8,National Aluminium Company Limited,NATIONALUM,4.28,22945839.0
540611,1246.25,AU Small Finance Bank,AUBANK,3.66,1006565.0
500002,2157.95,Abb India Limited,ABB,3.57,1052222.0
511196,631.45,Can Fin Homes Limited,CANFINHOME,3.27,1078407.0
538835,945.75,Intellect Design Arena Limited,INTELLECT,3.17,1230753.0
500670,844.45,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,3.16,3482605.0
