nsecode,name,bsecode,per_chg,close,volume
HDFCAMC,HDFC Asset Management Company Ltd,541729,11.23,2104.9,6587756
SHRIRAMFIN,Shriram Finance Ltd,511218,6.11,1559.65,2762920
PEL,Piramal Enterprises Limited,500302,5.71,838.5,5015146
LALPATHLAB,Dr. Lal Path Labs Ltd.,539524,4.81,2223.25,1640325
BALKRISIND,Balkrishna Industries Limited,502355,4.54,2453.45,924144
RECLTD,Rural Electrification Corporation Limited,532955,3.87,159.8,15061901
METROPOLIS,Metropolis Healthcare Ltd,542650,3.62,1424.2,991116
JINDALSTEL,Jindal Steel & Power Limited,532286,3.42,594.15,9508590
EXIDEIND,Exide Industries Limited,500086,3.4,220.35,6610978
PFC,Power Finance Corporation Limited,532810,3.4,203.95,7781286
DEEPAKNTR,Deepak Nitrite Limited,506401,3.19,2243.9,1163364
TATAMOTORS,Tata Motors Limited,500570,3.04,583.25,18074902
