bsecode,close,name,nsecode,per_chg,volume
532555,142.95,Ntpc Limited,NTPC,5.89,32589741.0
532483,239.95,Canara Bank,CANBK,5.36,13977898.0
533273,985.55,Oberoi Realty Limited,OBEROIRLTY,4.86,1477483.0
500469,101.6,The Federal Bank  Limited,FEDERALBNK,4.31,21163607.0
541153,320.3,Bandhan Bank Ltd,BANDHANBNK,4.2,15643935.0
530005,218.3,The India Cements Limited,INDIACEM,4.2,5968991.0
532155,162.05,Gail (india) Limited,GAIL,4.11,17417060.0
505537,299.8,Zee Entertainment Enterprises Limited,ZEEL,3.97,13698030.0
532720,165.45,Mahindra & Mahindra Financial Services Limited,M&MFIN,3.96,7188255.0
532134,116.0,Bank Of Baroda,BANKBARODA,3.94,30941452.0
532898,225.05,Power Grid Corporation Of India Limited,POWERGRID,3.81,29747971.0
511196,655.4,Can Fin Homes Limited,CANFINHOME,3.79,1205575.0
540611,1287.55,AU Small Finance Bank,AUBANK,3.31,1327125.0
542830,798.2,Indian Railway Catering & Tourism Corporation Ltd,IRCTC,3.03,4160527.0
,2435.55,POLYCAB,POLYCAB,3.01,214106.0
