bsecode,close,name,nsecode,per_chg,volume
540065,136.35,Rbl Bank Limited,RBLBANK,10.14,76496046.0
500228,679.6,Jsw Steel Limited,JSWSTEEL,5.47,8328955.0
532514,425.55,Indraprastha Gas Limited,IGL,4.39,4720502.0
532482,369.15,Granules India Limited,GRANULES,4.15,3672599.0
531344,790.05,Container Corporation Of India Limited,CONCOR,4.04,4384523.0
532286,469.45,Jindal Steel & Power Limited,JINDALSTEL,4.03,5530234.0
532321,433.6,Zydus Lifesciences Ltd,ZYDUSLIFE,3.88,2744073.0
532868,383.5,Dlf Limited,DLF,3.72,6417885.0
539957,868.95,Mahanagar Gas Limited,MGL,3.66,1480704.0
533309,1582.3,Dalmia Bharat Limited,DALBHARAT,3.27,175456.0
500096,549.05,Dabur India Limited,DABUR,3.18,5098267.0
