nsecode,name,bsecode,per_chg,close,volume
SAIL,Steel Authority Of India Limited,500113,9.74,133.0,140528760
METROPOLIS,Metropolis Healthcare Ltd,542650,6.94,1713.05,974863
TATASTEEL,Tata Steel Limited,500470,6.46,149.95,123709943
JINDALSTEL,Jindal Steel & Power Limited,532286,6.0,822.85,5256259
TVSMOTOR,Tvs Motor Company Limited,532343,4.83,2242.6,1643917
JSWSTEEL,Jsw Steel Limited,500228,4.51,836.2,5378252
LT,Larsen & Toubro Limited,500510,4.48,3633.5,4407803
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,4.07,263.1,37746325
RECLTD,Rural Electrification Corporation Limited,532955,3.98,459.65,9312316
TITAN,Titan Company Limited,500114,3.9,3765.9,1533727
INDUSINDBK,Indusind Bank Limited,532187,3.51,1526.65,3549401
BHEL,Bharat Heavy Electricals Limited,500103,3.41,235.3,35475431
ICICIBANK,Icici Bank Limited,532174,3.3,1086.9,14909562
PFC,Power Finance Corporation Limited,532810,3.13,413.25,10009057
NATIONALUM,National Aluminium Company Limited,532234,3.11,160.8,24088465
HINDALCO,Hindalco Industries Limited,500440,3.03,519.1,9882296
