bsecode,close,name,nsecode,per_chg,volume
532134,188.25,Bank Of Baroda,BANKBARODA,6.66,93033779.0
506395,966.25,Coromandel International Limited,COROMANDEL,5.24,2015997.0
500493,871.35,Bharat Forge Limited,BHARATFORG,4.1,2618796.0
532461,57.7,Punjab National Bank,PNB,4.06,150791474.0
526371,124.35,Nmdc Limited,NMDC,3.67,9924057.0
532483,324.4,Canara Bank,CANBK,3.35,15258852.0
500260,729.8,The Ramco Cements Limited,RAMCOCEM,3.33,1328956.0
532830,2065.55,Astral Poly Technik Limited,ASTRAL,3.2,476096.0
