bsecode,close,name,nsecode,per_chg,volume
500400,273.6,Tata Power Company Limited,TATAPOWER,8.59,94568156.0
,2654.45,POLYCAB,POLYCAB,7.5,1161280.0
517354,1258.65,Havells India Limited,HAVELLS,6.64,3238425.0
500495,1864.3,Escorts Limited,ESCORTS,5.62,527972.0
532779,533.2,Torrent Power Limited,TORNTPOWER,4.74,1206501.0
532400,489.65,Birlasoft Ltd,BSOFT,3.77,6633629.0
535755,309.55,Aditya Birla Fashion And Retail Limited,ABFRL,3.62,6104321.0
500002,2207.55,Abb India Limited,ABB,3.61,350006.0
532921,848.05,Adani Ports And Special Economic Zone Limited,ADANIPORTS,3.6,21090646.0
512599,2139.85,Adani Enterprises Limited,ADANIENT,3.58,4970260.0
532555,149.1,Ntpc Limited,NTPC,3.33,23958626.0
538835,958.15,Intellect Design Arena Limited,INTELLECT,3.25,1065121.0
