nsecode,name,bsecode,per_chg,close,volume
HINDZINC,Hindustan Zinc Limited,500188,5.04,491.6,7873786
GLENMARK,Glenmark Pharmaceuticals Limited,532296,4.76,1584.8,2290396
LTF,L&T Finance Ltd,533519,4.65,183.36,15938143
ANGELONE,Angel One Ltd,,4.57,3271.7,2143988
CDSL,Central Depository Services Ltd,,4.56,1778.8,9554463
ETERNAL,Eternal Ltd,543320,4.43,256.56,127795264
BSE,BSE (Bombay stock exchange),20,4.03,2909.8,11094118
DRREDDY,Dr. Reddy's Laboratories Limited,500124,3.09,1290.6,3834672
HDFCAMC,HDFC Asset Management Company Ltd,541729,3.08,4885.8,886866
