,nsecode,per_chg,close,trigger_price,stoploss,target,qty
0,BANKBARODA,4.43,117.95,119.1,122.7,113.1,41
1,GNFC,4.42,538.35,543.7,560.0,516.5,9
2,SRF,3.28,2531.3,2556.6,2633.3,2428.8,1
3,TVSMOTOR,3.07,656.5,663.1,683.0,629.9,7
