nsecode,name,bsecode,per_chg,close,volume
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,6.96,882.45,20638175
CANBK,Canara Bank,532483,6.15,359.95,26571751
HDFCAMC,HDFC Asset Management Company Ltd,541729,5.05,2663.9,1213366
GLENMARK,Glenmark Pharmaceuticals Limited,532296,4.39,810.95,1996311
ADANIENT,Adani Enterprises Limited,512599,3.8,2614.95,9148241
BIOCON,Biocon Limited,532523,3.75,276.4,4969656
ABB,Abb India Limited,500002,3.6,4618.85,684497
ICICIPRULI,Icici Prudential Life Insurance Company Limited,540133,3.57,576.55,2168706
CONCOR,Container Corporation Of India Limited,531344,3.48,733.6,4258948
PEL,Piramal Enterprises Limited,500302,3.47,1127.2,2001551
PNB,Punjab National Bank,532461,3.44,69.15,97021497
BALRAMCHIN,Balrampur Chini Mills Limited,500038,3.27,420.2,5471143
