bsecode,close,name,nsecode,per_chg,volume
511196,567.55,Can Fin Homes Limited,CANFINHOME,4.97,1512615.0
532830,2052.7,Astral Poly Technik Limited,ASTRAL,4.16,496121.0
539957,883.95,Mahanagar Gas Limited,MGL,4.06,298571.0
500038,378.1,Balrampur Chini Mills Limited,BALRAMCHIN,4.03,1363414.0
542652,2921.25,Polycab India Ltd,POLYCAB,3.62,545851.0
500477,149.5,Ashok Leyland Limited,ASHOKLEY,3.6,10568854.0
500520,1378.75,Mahindra & Mahindra Limited,M&M,3.54,5265862.0
511218,1286.6,Shriram Finance Ltd,SHRIRAMFIN,3.44,1210700.0
500850,301.0,The Indian Hotels Company Limited,INDHOTEL,3.33,12635485.0
541154,2552.85,Hindustan Aeronautics Ltd,HAL,3.3,1200575.0
500480,1435.8,Cummins India Limited,CUMMINSIND,3.28,770920.0
500295,332.4,Vedanta Limited,VEDL,3.26,12559707.0
500253,401.2,Lic Housing Finance Limited,LICHSGFIN,3.1,1356899.0
