nsecode,name,bsecode,per_chg,close,volume
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,8.96,376.5,29952155
EICHERMOT,Eicher Motors Limited,505200,7.43,4180.35,2824695
AMBUJACEM,Ambuja Cements Limited,500425,7.36,474.55,13146040
ADANIENT,Adani Enterprises Limited,512599,7.13,2531.2,5681516
ACC,Acc Limited,500410,6.28,2019.5,1802093
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,6.14,878.65,11064795
ABB,Abb India Limited,500002,5.55,4630.75,798523
BPCL,Bharat Petroleum Corporation Limited,500547,5.37,461.5,20741397
ICICIBANK,Icici Bank Limited,532174,4.7,991.2,33131257
SHRIRAMFIN,Shriram Finance Ltd,511218,4.55,2094.45,1872166
GAIL,Gail (india) Limited,532155,4.3,141.9,66257632
RECLTD,Rural Electrification Corporation Limited,532955,4.22,389.8,26066333
IOC,Indian Oil Corporation Limited,530965,4.18,115.9,50645500
BEL,Bharat Electronics Limited,500049,4.14,153.55,51416976
CANBK,Canara Bank,532483,4.06,426.95,11068052
RBLBANK,Rbl Bank Limited,540065,4.01,242.45,12274492
SBIN,State Bank Of India,500112,4.01,594.7,26077882
KOTAKBANK,Kotak Mahindra Bank Limited,500247,3.89,1818.55,4579173
ONGC,Oil & Natural Gas Corporation Limited,500312,3.86,202.05,28615290
LT,Larsen & Toubro Limited,500510,3.85,3313.55,3095974
PNB,Punjab National Bank,532461,3.78,83.75,98320541
INDUSINDBK,Indusind Bank Limited,532187,3.67,1514.65,4254987
BANKBARODA,Bank Of Baroda,532134,3.57,209.05,35929143
BANDHANBNK,Bandhan Bank Ltd,541153,3.56,234.3,14109397
FEDERALBNK,The Federal Bank  Limited,500469,3.56,154.05,21781254
HDFCBANK,Hdfc Bank Limited,500180,3.47,1609.4,25331228
NATIONALUM,National Aluminium Company Limited,532234,3.41,96.95,25325753
MGL,Mahanagar Gas Limited,539957,3.35,1098.75,825132
DLF,Dlf Limited,532868,3.18,649.25,4588495
LICHSGFIN,Lic Housing Finance Limited,500253,3.01,507.55,3584148
