nsecode,name,bsecode,per_chg,close,volume
BANDHANBNK,Bandhan Bank Ltd,541153,13.7,218.87,133627172
CUB,City Union Bank Limited,532210,5.89,169.22,16592612
PNB,Punjab National Bank,532461,5.88,127.0,144104708
IEX,Indian Energy Exchange Ltd,540750,5.88,187.04,40759273
DLF,Dlf Limited,532868,4.86,870.0,8358895
PIIND,Pi Industries Limited,523642,4.51,4396.85,942602
SUNTV,Sun Tv Network Limited,532733,4.37,866.7,1407421
ASHOKLEY,Ashok Leyland Limited,500477,4.05,256.35,28698736
PEL,Piramal Enterprises Limited,500302,3.8,1029.75,3017172
BEL,Bharat Electronics Limited,500049,3.69,321.35,51391698
COROMANDEL,Coromandel International Limited,506395,3.41,1680.05,859587
M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,3.24,303.15,2530835
BHARATFORG,Bharat Forge Limited,500493,3.09,1737.0,1776427
GUJGASLTD,Gujarat Gas Limited,539336,3.09,668.5,2023074
ABFRL,Aditya Birla Fashion And Retail Limited,535755,3.05,340.05,6591242
