nsecode,name,bsecode,per_chg,close,volume
SAIL,Steel Authority Of India Limited,500113,7.46,110.95,177834487
MPHASIS,Mphasis Limited,526299,7.23,2601.0,2057224
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,7.0,201.05,23451294
GODREJPROP,Godrej Properties Limited,533150,6.58,2061.45,1982211
M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,6.5,289.35,9835137
SHRIRAMFIN,Shriram Finance Ltd,511218,6.16,2118.3,2384904
NATIONALUM,National Aluminium Company Limited,532234,5.36,104.25,62388957
MANAPPURAM,Manappuram Finance Limited,531213,4.6,171.85,24713838
BSOFT,Birlasoft Ltd,532400,4.36,700.4,4534231
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,4.09,1228.9,2353918
TECHM,Tech Mahindra Limited,532755,4.0,1264.7,5287733
DLF,Dlf Limited,532868,3.82,699.5,7464762
OBEROIRLTY,Oberoi Realty Limited,533273,3.64,1489.35,1196188
INFY,Infosys Limited,500209,3.62,1501.45,12489858
WIPRO,Wipro Limited,507685,3.51,434.4,12340688
MOTHERSON,Motherson Sumi Systems Limited,517334,3.4,98.8,28094326
AUBANK,AU Small Finance Bank,540611,3.33,760.0,1669614
HCLTECH,Hcl Technologies Limited,532281,3.32,1414.6,5145574
PEL,Piramal Enterprises Limited,500302,3.23,942.85,4368243
EXIDEIND,Exide Industries Limited,500086,3.19,296.15,3367531
GAIL,Gail (india) Limited,532155,3.19,145.55,38595458
IBULHSGFIN,Indiabulls Housing Finance Limited,535789,3.09,213.4,24788603
