nsecode,name,bsecode,per_chg,close,volume
BPCL,Bharat Petroleum Corporation Limited,500547,9.81,558.35,38778041
IOC,Indian Oil Corporation Limited,530965,8.78,162.9,94675914
ABCAPITAL,Aditya Birla Capital Ltd,540691,8.09,180.35,34576551
GMRINFRA,Gmr Infrastructure Limited,532754,7.71,85.2,124563723
SAIL,Steel Authority Of India Limited,500113,7.54,128.3,115557246
MCX,Multi Commodity Exchange Of India Limited,534091,5.95,3655.1,1285834
PNB,Punjab National Bank,532461,5.51,125.4,167566465
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,4.95,488.85,19090406
JINDALSTEL,Jindal Steel & Power Limited,532286,4.52,776.0,5419790
NMDC,Nmdc Limited,526371,4.5,235.55,38931640
CANFINHOME,Can Fin Homes Limited,511196,4.26,828.85,3651061
POWERGRID,Power Grid Corporation Of India Limited,532898,4.25,277.1,33900724
NATIONALUM,National Aluminium Company Limited,532234,4.05,153.0,54463864
ONGC,Oil & Natural Gas Corporation Limited,500312,3.88,257.25,30482663
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,3.5,1261.45,10450227
NTPC,Ntpc Limited,532555,3.26,332.5,32346639
COALINDIA,Coal India Limited,533278,3.22,419.8,25177075
