nsecode,name,bsecode,per_chg,close,volume
HDFCAMC,HDFC Asset Management Company Ltd,541729,11.98,2295.65,6186674
BIOCON,Biocon Limited,532523,8.37,265.5,18396181
IBULHSGFIN,Indiabulls Housing Finance Limited,535789,6.24,123.4,40304475
M&M,Mahindra & Mahindra Limited,500520,4.2,1453.6,4114865
BEL,Bharat Electronics Limited,500049,4.14,125.75,27973500
BANDHANBNK,Bandhan Bank Ltd,541153,3.68,242.05,21186767
RBLBANK,Rbl Bank Limited,540065,3.38,181.95,14439336
L&TFH,L&t Finance Holdings Limited,533519,3.32,127.7,16713331
M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,3.06,336.45,8552332
BHEL,Bharat Heavy Electricals Limited,500103,3.06,87.65,25365133
INDUSINDBK,Indusind Bank Limited,532187,3.04,1374.65,4590286
