bsecode,close,name,nsecode,per_chg,volume
541729,2181.35,HDFC Asset Management Company Ltd,HDFCAMC,11.49,5461044.0
500495,1842.55,Escorts Limited,ESCORTS,9.58,2285882.0
500877,250.15,Apollo Tyres Limited,APOLLOTYRE,5.95,20112566.0
532921,824.15,Adani Ports And Special Economic Zone Limited,ADANIPORTS,4.54,6820860.0
505200,3338.05,Eicher Motors Limited,EICHERMOT,3.98,1700743.0
512599,2975.85,Adani Enterprises Limited,ADANIENT,3.89,1969492.0
500002,2898.0,Abb India Limited,ABB,3.6,833499.0
539957,921.65,Mahanagar Gas Limited,MGL,3.59,1373922.0
540133,577.9,Icici Prudential Life Insurance Company Limited,ICICIPRULI,3.42,1345162.0
500086,164.25,Exide Industries Limited,EXIDEIND,3.17,6168706.0
500043,1971.25,Bata India Limited,BATAINDIA,3.12,842905.0
532321,398.55,Zydus Lifesciences Ltd,ZYDUSLIFE,3.02,3566829.0
