nsecode,name,bsecode,close,per_chg,volume
ATHERENERG,Ather Energy Ltd,544397,1717.7,6.27,19768043
INDHOTEL,The Indian Hotels Company Limited,500850,737.9,4.46,5220998
AUROPHARMA,Aurobindo Pharma Limited,524804,1717.0,4.36,2416718
NYKAA,FSN E-Commerce Ventures Ltd,543384,349.55,4.14,7930224
GAIL,Gail (india) Limited,532155,177.5,3.74,13012294
FEDERALBNK,The Federal Bank  Limited,500469,356.7,3.62,6824404
PIDILITIND,Pidilite Industries Limited,500331,1687.7,3.57,1907573
POLICYBZR,PB Fintech Ltd,543390,1875.0,3.51,1151385
IDFCFIRSTB,IDFC First Bank Ltd,539437,85.97,3.43,19780056
SUNPHARMA,Sun Pharmaceuticals Industries Limited,524715,1984.8,3.38,2413221
BHARATFORG,Bharat Forge Limited,500493,2104.9,3.3,779889
MOTHERSON,Samvardhana Motherson International Ltd,517334,170.68,3.07,20098698
CGPOWER,CG Power and Industrial Solutions Ltd,500093,916.0,3.04,3393030
