bsecode,close,name,nsecode,per_chg,volume
500493,763.9,Bharat Forge Limited,BHARATFORG,8.05,6396270.0
530005,278.25,The India Cements Limited,INDIACEM,6.63,22550913.0
500228,674.45,Jsw Steel Limited,JSWSTEEL,4.86,3704140.0
533278,233.5,Coal India Limited,COALINDIA,4.59,12795784.0
541154,2476.0,Hindustan Aeronautics Ltd,HAL,4.56,1601688.0
505537,279.95,Zee Entertainment Enterprises Limited,ZEEL,4.38,53214447.0
532343,1074.8,Tvs Motor Company Limited,TVSMOTOR,3.86,2710620.0
500002,3188.85,Abb India Limited,ABB,3.51,507339.0
500670,670.65,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,3.43,1478951.0
506401,2175.9,Deepak Nitrite Limited,DEEPAKNTR,3.25,710290.0
532286,453.0,Jindal Steel & Power Limited,JINDALSTEL,3.07,3200170.0
