bsecode,close,name,nsecode,per_chg,volume
535789,138.15,Indiabulls Housing Finance Limited,IBULHSGFIN,11.64,52110019.0
500103,81.95,Bharat Heavy Electricals Limited,BHEL,9.56,125076142.0
532702,278.8,Gujarat State Petronet Limited,GSPL,7.05,12318797.0
532810,136.5,Power Finance Corporation Limited,PFC,5.73,24479971.0
540065,150.05,Rbl Bank Limited,RBLBANK,5.71,35808513.0
532955,109.05,Rural Electrification Corporation Limited,RECLTD,5.57,29877176.0
533519,86.9,L&t Finance Holdings Limited,L&TFH,5.46,23427873.0
532461,53.6,Punjab National Bank,PNB,5.41,374685764.0
540691,135.3,Aditya Birla Capital Ltd,ABCAPITAL,4.92,13245307.0
500495,2288.35,Escorts Limited,ESCORTS,4.71,1674760.0
500877,293.2,Apollo Tyres Limited,APOLLOTYRE,3.93,5019984.0
532514,430.6,Indraprastha Gas Limited,IGL,3.34,2563469.0
500253,383.25,Lic Housing Finance Limited,LICHSGFIN,3.22,2688781.0
