bsecode,close,name,nsecode,per_chg,volume
500477,162.75,Ashok Leyland Limited,ASHOKLEY,5.68,47154193.0
503806,2666.35,Srf Limited,SRF,4.83,2165693.0
500483,1257.05,Tata Communications Limited,TATACOMM,4.56,1477986.0
500049,319.8,Bharat Electronics Limited,BEL,4.34,11256312.0
500002,3403.7,Abb India Limited,ABB,4.32,1034069.0
532830,2180.9,Astral Poly Technik Limited,ASTRAL,4.23,506960.0
500800,838.4,TATA Consumer Products Ltd,TATACONSUM,3.55,6228307.0
500850,294.7,The Indian Hotels Company Limited,INDHOTEL,3.24,8427265.0
500331,2820.3,Pidilite Industries Limited,PIDILITIND,3.07,733334.0
