bsecode,close,name,nsecode,per_chg,volume
511243,741.75,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,8.01,12316063.0
539268,648.35,Syngene International Limited,SYNGENE,6.26,1995778.0
500300,1771.25,Grasim Industries Limited,GRASIM,5.31,2498083.0
540719,1160.45,SBI Life Insurance Company Ltd,SBILIFE,4.65,2390240.0
500875,267.8,Itc Limited,ITC,4.34,37826800.0
500228,756.6,Jsw Steel Limited,JSWSTEEL,3.92,8125253.0
500104,296.4,Hindustan Petroleum Corporation Limited,HINDPETRO,3.65,5810082.0
512599,2170.95,Adani Enterprises Limited,ADANIENT,3.43,1924054.0
532720,175.05,Mahindra & Mahindra Financial Services Limited,M&MFIN,3.09,10023264.0
,2689.25,POLYCAB,POLYCAB,3.02,853591.0
