nsecode,name,bsecode,per_chg,close,volume
TATAMOTORS,Tata Motors Limited,500570,6.15,1090.95,32766835
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,5.62,373.75,20611250
SYNGENE,Syngene International Limited,539268,5.5,786.8,3470880
ONGC,Oil & Natural Gas Corporation Limited,500312,5.09,335.8,42054664
IOC,Indian Oil Corporation Limited,530965,4.78,176.85,75894556
UBL,United Breweries Limited,532478,4.42,2109.25,419567
UNITDSPR,United Spirits Ltd,532432,4.41,1443.8,3367113
PETRONET,Petronet Lng Limited,532522,4.21,365.35,15127989
BIOCON,Biocon Limited,532523,3.98,361.85,6420578
SBILIFE,SBI Life Insurance Company Ltd,540719,3.82,1695.4,4427012
BPCL,Bharat Petroleum Corporation Limited,500547,3.56,326.15,30554549
INDIACEM,The India Cements Limited,530005,3.37,361.5,14262592
