nsecode,name,bsecode,per_chg,close,volume
MGL,Mahanagar Gas Limited,539957,9.39,1746.8,4986669
PERSISTENT,Persistent Systems Limited,533179,6.01,4496.15,1748520
ACC,Acc Limited,500410,4.98,2749.6,895260
LTF,L&T Finance Ltd,533519,4.93,190.1,24853967
IEX,Indian Energy Exchange Ltd,540750,4.87,189.34,35117376
RECLTD,Rural Electrification Corporation Limited,532955,4.81,550.65,22872490
DEEPAKNTR,Deepak Nitrite Limited,506401,4.56,2616.0,614193
IGL,Indraprastha Gas Limited,532514,4.21,524.9,6733235
BSOFT,Birlasoft Ltd,532400,3.95,717.6,6757562
METROPOLIS,Metropolis Healthcare Ltd,542650,3.87,2054.65,349825
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,3.82,389.65,32581017
AMBUJACEM,Ambuja Cements Limited,500425,3.69,695.0,6820204
SUNTV,Sun Tv Network Limited,532733,3.45,778.15,1397804
MOTHERSON,Motherson Sumi Systems Limited,517334,3.38,196.75,38871444
PFC,Power Finance Corporation Limited,532810,3.33,501.25,16866460
ABFRL,Aditya Birla Fashion And Retail Limited,535755,3.32,322.5,4395944
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,3.23,523.15,5006457
GLENMARK,Glenmark Pharmaceuticals Limited,532296,3.0,1267.45,677834
