nsecode,name,bsecode,close,per_chg,volume
SAIL,Steel Authority Of India Limited,500113,185.44,6.57,41615771
POLICYBZR,PB Fintech Ltd,543390,1886.3,4.5,2477939
BANDHANBNK,Bandhan Bank Ltd,541153,191.38,3.62,41844761
MOTILALOFS,Motilal Oswal Financial Services Limited,532892,1042.5,3.53,2096581
RADICO,Radico Khaitan Limited,532497,4601.9,3.44,528324
MCX,Multi Commodity Exchange Of India Limited,534091,3374.0,3.41,2249890
BAJFINANCE,Bajaj Finance Limited,500034,1043.2,3.41,8618523
HINDALCO,Hindalco Industries Limited,500440,1003.8,3.17,5158521
UNITDSPR,United Spirits Ltd,532432,1441.0,3.08,767514
VEDL,Vedanta Limited,500295,271.0,3.04,11735115
JINDALSTEL,Jindal Steel Ltd,532286,1175.3,3.01,994851
