nsecode,name,bsecode,per_chg,close,volume
L&TFH,L&t Finance Holdings Limited,533519,7.56,137.35,63434497
IDFC,Idfc Limited,532659,6.33,109.2,26205943
CANBK,Canara Bank,532483,5.52,318.5,18497978
BANKBARODA,Bank Of Baroda,532134,4.6,199.1,27140339
IOC,Indian Oil Corporation Limited,530965,4.33,95.25,32972732
PNB,Punjab National Bank,532461,4.26,53.85,68566621
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,3.52,283.5,15642966
GRASIM,Grasim Industries Limited,500300,3.4,1793.7,1082940
IDFCFIRSTB,IDFC First Bank Ltd,539437,3.21,81.95,41722855
MGL,Mahanagar Gas Limited,539957,3.09,1080.95,782193
