nsecode,name,bsecode,close,per_chg,volume
MAXHEALTH,Max Healthcare Institute Ltd,543220,1090.45,6.27,6871544
NYKAA,FSN E-Commerce Ventures Ltd,543384,298.1,6.1,36124206
ADANIPOWER,Adani Power Limited,533096,230.57,4.61,49545386
BHEL,Bharat Heavy Electricals Limited,500103,405.9,3.48,15191954
MFSL,Max Financial Services Limited,500271,1688.2,3.46,1061168
PGEL,Pg Electroplast Limited,533581,564.25,3.41,4106257
RADICO,Radico Khaitan Limited,532497,3690.0,3.3,1199579
UNITDSPR,United Spirits Ltd,532432,1350.3,3.23,2744272
CAMS,Computer Age Management Services Ltd,543232,832.8,3.17,2299896
