nsecode,name,bsecode,per_chg,close,volume
M&M,Mahindra & Mahindra Limited,500520,6.52,1765.05,9887134
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,5.83,575.0,17700107
MPHASIS,Mphasis Limited,526299,5.81,2708.6,1010278
NMDC,Nmdc Limited,526371,4.84,246.95,62514312
PNB,Punjab National Bank,532461,4.8,128.85,102510609
FEDERALBNK,The Federal Bank  Limited,500469,4.78,156.6,29844812
BPCL,Bharat Petroleum Corporation Limited,500547,4.67,652.75,25622509
GAIL,Gail (india) Limited,532155,4.54,184.25,43688826
PIIND,Pi Industries Limited,523642,4.37,3567.6,1141777
CANBK,Canara Bank,532483,3.64,587.05,16040567
NTPC,Ntpc Limited,532555,3.43,339.25,21973316
IOC,Indian Oil Corporation Limited,530965,3.43,189.85,70678699
ESCORTS,Escorts Limited,500495,3.38,2904.6,481769
ONGC,Oil & Natural Gas Corporation Limited,500312,3.14,277.3,32831246
