nsecode,name,bsecode,per_chg,close,volume
MPHASIS,Mphasis Limited,526299,7.67,2069.55,2663627
RBLBANK,Rbl Bank Limited,540065,6.95,211.6,35393674
INTELLECT,Intellect Design Arena Limited,538835,5.77,640.85,2511476
NATIONALUM,National Aluminium Company Limited,532234,5.62,89.3,29185342
LTTS,L&t Technology Services Limited,540115,5.41,4094.95,774617
TCS,Tata Consultancy Services Limited,532540,5.21,3514.65,6306101
BSOFT,Birlasoft Ltd,532400,4.92,379.7,7264128
OFSS,Oracle Financial Services Software Limited,532466,4.62,4021.5,256422
TECHM,Tech Mahindra Limited,532755,4.54,1228.65,6033106
INDIACEM,The India Cements Limited,530005,4.11,214.25,4029402
HCLTECH,Hcl Technologies Limited,532281,3.8,1150.95,6605038
INDIAMART,Indiamart Intermesh Ltd,542726,3.66,2849.3,406717
COFORGE,Coforge (Niit Tech),532541,3.58,4925.8,653920
PERSISTENT,Persistent Systems Limited,533179,3.44,4924.0,712319
OBEROIRLTY,Oberoi Realty Limited,533273,3.08,1060.25,643714
