nsecode,name,bsecode,per_chg,close,volume
BDL,Bharat Dynamics Ltd,541143,5.11,1496.7,2139137
BEL,Bharat Electronics Limited,500049,4.33,388.05,23174318
SBICARD,SBI Cards & Payment Services Ltd,543066,4.28,854.4,1889303
COFORGE,Coforge (Niit Tech),532541,4.24,1768.6,2946800
BANKINDIA,Bank Of India,532149,4.19,117.49,10642889
UNIONBANK,Union Bank Of India,532477,4.14,132.51,17944307
MPHASIS,Mphasis Limited,526299,4.03,2968.4,1090464
CGPOWER,CG Power and Industrial Solutions Ltd,500093,3.9,768.95,7475889
INDIANB,Indian Bank,532814,3.34,692.4,2032781
360ONE,360 ONE WAM Ltd,542772,3.27,1078.0,1184367
