bsecode,close,name,nsecode,per_chg,volume
541154,2614.0,Hindustan Aeronautics Ltd,HAL,7.4,3708427.0
532504,4662.25,Navin Fluorine International Limited,NAVINFLUOR,6.65,616087.0
506401,2178.4,Deepak Nitrite Limited,DEEPAKNTR,6.54,2686496.0
500410,2500.85,Acc Limited,ACC,5.72,1990854.0
500425,475.65,Ambuja Cements Limited,AMBUJACEM,4.61,27759936.0
500770,1159.75,Tata Chemicals Limited,TATACHEM,4.2,3385342.0
533155,625.15,Jubilant Foodworks Limited,JUBLFOOD,4.02,4083711.0
533273,1059.1,Oberoi Realty Limited,OBEROIRLTY,3.89,1814343.0
500670,780.35,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,3.89,2889684.0
500877,284.0,Apollo Tyres Limited,APOLLOTYRE,3.8,4282678.0
532921,938.5,Adani Ports And Special Economic Zone Limited,ADANIPORTS,3.49,12571292.0
524208,888.65,Aarti Industries Limited,AARTIIND,3.36,1243284.0
503806,2727.2,Srf Limited,SRF,3.33,1056499.0
540691,118.85,Aditya Birla Capital Ltd,ABCAPITAL,3.26,6280366.0
532868,409.6,Dlf Limited,DLF,3.2,9496756.0
500049,338.55,Bharat Electronics Limited,BEL,3.17,13024882.0
