nsecode,name,bsecode,per_chg,close,volume
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,7.48,299.5,24683404
APOLLOTYRE,Apollo Tyres Limited,500877,6.82,410.3,17051533
ALKEM,Alkem Laboratories Limited,539523,5.1,4232.7,1222642
IPCALAB,Ipca Laboratories Limited,524494,4.71,1053.95,931525
ZYDUSLIFE,Zydus Lifesciences Ltd,532321,4.67,625.2,4262389
CUMMINSIND,Cummins India Limited,500480,4.01,1767.2,2322242
NAUKRI,Info Edge (india) Limited,532777,3.82,4505.8,506871
AUROPHARMA,Aurobindo Pharma Limited,524804,3.77,936.55,4414035
GLENMARK,Glenmark Pharmaceuticals Limited,532296,3.53,785.95,1048266
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,3.48,300.2,5192656
RBLBANK,Rbl Bank Limited,540065,3.22,240.15,8250740
BPCL,Bharat Petroleum Corporation Limited,500547,3.06,384.2,12010456
OFSS,Oracle Financial Services Software Limited,532466,3.01,4080.25,50869
