nsecode,name,bsecode,close,per_chg,volume
EXIDEIND,Exide Industries Limited,500086,366.25,5.78,7351528
ADANIPOWER,Adani Power Limited,533096,244.53,4.78,91664035
ADANIENSOL,Adani Energy Solutions Ltd,539254,1463.3,4.2,6172118
ADANIENT,Adani Enterprises Limited,512599,2969.3,4.2,4899494
VEDL,Vedanta Limited,500295,344.9,3.73,39844071
JSWENERGY,Jsw Energy Limited,533148,576.0,3.4,6108184
TMPV,Tata Motors Passenger Vehicles Ltd,500570,385.6,3.31,21346890
ADANIGREEN,Adani Green Energy Ltd,541450,1457.4,3.28,4949474
NATIONALUM,National Aluminium Company Limited,532234,416.2,3.28,7524355
PREMIERENE,Premier Energies Ltd,,1016.8,3.23,3696906
