bsecode,close,name,nsecode,per_chg,volume
500103,68.2,Bharat Heavy Electricals Limited,BHEL,8.34,139761163.0
532483,250.25,Canara Bank,CANBK,5.41,20511341.0
532343,1129.05,Tvs Motor Company Limited,TVSMOTOR,5.02,3359533.0
542652,2749.05,Polycab India Ltd,POLYCAB,4.97,1315807.0
541154,2477.95,Hindustan Aeronautics Ltd,HAL,4.82,1549498.0
500049,105.95,Bharat Electronics Limited,BEL,4.08,21766333.0
500251,1428.9,Trent Limited,TRENT,3.67,651226.0
500483,1238.2,Tata Communications Limited,TATACOMM,3.54,1678706.0
500112,562.45,State Bank Of India,SBIN,3.46,20440781.0
532134,140.65,Bank Of Baroda,BANKBARODA,3.31,34071231.0
532921,809.95,Adani Ports And Special Economic Zone Limited,ADANIPORTS,3.02,7372253.0
