nsecode,name,bsecode,per_chg,close,volume
IOC,Indian Oil Corporation Limited,530965,6.78,173.95,101043319
TATAMOTORS,Tata Motors Limited,500570,5.47,926.8,38686871
SAIL,Steel Authority Of India Limited,500113,5.46,135.3,130644925
MCX,Multi Commodity Exchange Of India Limited,534091,5.33,3850.05,1416753
COALINDIA,Coal India Limited,533278,4.87,440.25,31418925
LUPIN,Lupin Limited,500257,4.68,1573.15,1484593
TORNTPHARM,Torrent Pharmaceuticals Limited,500420,4.67,2643.7,588737
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,4.0,508.4,18304224
BIOCON,Biocon Limited,532523,3.62,284.65,10372100
SUNPHARMA,Sun Pharmaceuticals Industries Limited,524715,3.33,1463.8,3481964
