bsecode,close,name,nsecode,per_chg,volume
500002,2517.0,Abb India Limited,ABB,6.44,1037060.0
532424,879.95,Godrej Consumer Products Limited,GODREJCP,5.73,5321953.0
500825,3830.8,Britannia Industries Limited,BRITANNIA,4.76,1043070.0
500251,1172.0,Trent Limited,TRENT,4.61,835710.0
532720,190.35,Mahindra & Mahindra Financial Services Limited,M&MFIN,4.24,4991047.0
531344,650.45,Container Corporation Of India Limited,CONCOR,4.19,8539454.0
500696,2498.4,Hindustan Unilever Limited,HINDUNILVR,4.03,4770394.0
505200,2907.95,Eicher Motors Limited,EICHERMOT,3.65,1058465.0
500182,2831.8,Hero Motocorp Limited,HEROMOTOCO,3.45,739745.0
500550,2647.85,Siemens Limited,SIEMENS,3.42,729876.0
500480,1103.85,Cummins India Limited,CUMMINSIND,3.15,1140872.0
506395,979.3,Coromandel International Limited,COROMANDEL,3.12,533968.0
532478,1617.0,United Breweries Limited,UBL,3.09,565038.0
