nsecode,name,bsecode,per_chg,close,volume
NAVINFLUOR,Navin Fluorine International Limited,532504,5.61,3771.15,741208
COLPAL,Colgate Palmolive (india) Limited,500830,4.88,3366.55,3004331
GRANULES,Granules India Limited,532482,4.27,588.95,4960705
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,3.86,395.75,35730279
AARTIIND,Aarti Industries Limited,524208,3.77,742.8,2926303
INDIAMART,Indiamart Intermesh Ltd,542726,3.39,3152.45,626413
TATAMOTORS,Tata Motors Limited,500570,3.37,1161.85,28592304
NTPC,Ntpc Limited,532555,3.31,406.95,34447139
GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited,500670,3.15,713.05,2336549
CROMPTON,Crompton Greaves Consumer Electricals Limited,539876,3.07,445.45,13017966
BPCL,Bharat Petroleum Corporation Limited,500547,3.05,348.2,45785745
