bsecode,close,name,nsecode,per_chg,volume
532720,200.4,Mahindra & Mahindra Financial Services Limited,M&MFIN,11.49,27799253.0
539437,53.2,IDFC First Bank Ltd,IDFCFIRSTB,7.8,126647554.0
533519,77.0,L&t Finance Holdings Limited,L&TFH,6.43,9721518.0
532659,69.85,Idfc Limited,IDFC,6.4,19705612.0
505537,268.2,Zee Entertainment Enterprises Limited,ZEEL,6.34,16090506.0
511243,737.75,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,5.46,2855582.0
532187,1219.25,Indusind Bank Limited,INDUSINDBK,5.45,4446589.0
540691,115.2,Aditya Birla Capital Ltd,ABCAPITAL,4.97,3287128.0
532286,439.5,Jindal Steel & Power Limited,JINDALSTEL,4.74,3494559.0
532134,133.8,Bank Of Baroda,BANKBARODA,4.49,20696678.0
500770,1140.95,Tata Chemicals Limited,TATACHEM,4.32,3217331.0
532432,861.6,United Spirits Limited,MCDOWELL-N,4.15,2550163.0
500477,156.3,Ashok Leyland Limited,ASHOKLEY,3.99,12616277.0
532343,1034.9,Tvs Motor Company Limited,TVSMOTOR,3.96,1378191.0
500469,120.85,The Federal Bank  Limited,FEDERALBNK,3.91,10509831.0
533278,223.25,Coal India Limited,COALINDIA,3.86,10862095.0
500253,417.65,Lic Housing Finance Limited,LICHSGFIN,3.82,2359294.0
500182,2621.8,Hero Motocorp Limited,HEROMOTOCO,3.81,391128.0
500049,102.05,Bharat Electronics Limited,BEL,3.66,14768228.0
542652,2633.85,Polycab India Ltd,POLYCAB,3.58,355302.0
541154,2368.0,Hindustan Aeronautics Ltd,HAL,3.33,824353.0
532978,1701.15,Bajaj Finserv Limited,BAJAJFINSV,3.31,1806381.0
500495,2127.3,Escorts Limited,ESCORTS,3.31,326926.0
532733,520.65,Sun Tv Network Limited,SUNTV,3.21,852717.0
533155,633.4,Jubilant Foodworks Limited,JUBLFOOD,3.0,3297431.0
