nsecode,name,bsecode,per_chg,close,volume
NATIONALUM,National Aluminium Company Limited,532234,6.19,110.7,109966812
HCLTECH,Hcl Technologies Limited,532281,5.42,1491.3,7374290
TCS,Tata Consultancy Services Limited,532540,5.28,3861.0,8531230
INFY,Infosys Limited,500209,5.13,1578.4,18395389
OFSS,Oracle Financial Services Software Limited,532466,4.67,4360.75,399090
BANDHANBNK,Bandhan Bank Ltd,541153,4.42,253.8,30516702
SBIN,State Bank Of India,500112,3.94,648.25,29813572
IBULHSGFIN,Indiabulls Housing Finance Limited,535789,3.7,221.3,34708756
RBLBANK,Rbl Bank Limited,540065,3.67,292.45,11420263
TATACOMM,Tata Communications Limited,500483,3.64,1813.35,1919310
ADANIENT,Adani Enterprises Limited,512599,3.38,2991.8,4921484
TATASTEEL,Tata Steel Limited,500470,3.37,136.45,77377446
NTPC,Ntpc Limited,532555,3.28,305.1,28843558
TECHM,Tech Mahindra Limited,532755,3.27,1306.1,5900381
BEL,Bharat Electronics Limited,500049,3.08,169.05,39766631
IOC,Indian Oil Corporation Limited,530965,3.08,123.8,43200717
IDFC,Idfc Limited,532659,3.04,126.95,12128421
AARTIIND,Aarti Industries Limited,524208,3.01,591.2,3644800
