nsecode,name,bsecode,per_chg,close,volume
GODREJPROP,Godrej Properties Limited,533150,5.63,2857.15,1297725
PFC,Power Finance Corporation Limited,532810,5.43,477.95,16196571
LAURUSLABS,Laurus Labs Limited,540222,4.79,512.6,4514476
SBIN,State Bank Of India,500112,4.52,816.05,20665405
JUBLFOOD,Jubilant Foodworks Limited,533155,4.5,637.65,1511063
TCS,Tata Consultancy Services Limited,532540,4.22,4244.6,3096553
ITC,Itc Limited,500875,3.83,474.65,19464568
INFY,Infosys Limited,500209,3.72,1902.25,6301486
JSWSTEEL,Jsw Steel Limited,500228,3.52,977.35,1889389
MPHASIS,Mphasis Limited,526299,3.49,2883.55,1224485
NATIONALUM,National Aluminium Company Limited,532234,3.48,256.85,35571530
LT,Larsen & Toubro Limited,500510,3.44,3603.5,2534018
POWERGRID,Power Grid Corporation Of India Limited,532898,3.39,336.95,31523269
HCLTECH,Hcl Technologies Limited,532281,3.38,1898.4,2765950
RAMCOCEM,The Ramco Cements Limited,500260,3.28,944.95,2237416
