bsecode,close,name,nsecode,per_chg,volume
540750,150.85,Indian Energy Exchange Ltd,IEX,10.51,44174907.0
511243,841.4,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,7.89,12172829.0
532720,252.15,Mahindra & Mahindra Financial Services Limited,M&MFIN,5.28,9379084.0
532809,111.7,Firstsource Solutions Limited,FSL,5.28,2312648.0
533273,896.75,Oberoi Realty Limited,OBEROIRLTY,4.33,860736.0
532868,382.9,Dlf Limited,DLF,4.32,8930230.0
532514,462.45,Indraprastha Gas Limited,IGL,4.25,6415771.0
511196,567.15,Can Fin Homes Limited,CANFINHOME,4.22,881334.0
500103,70.6,Bharat Heavy Electricals Limited,BHEL,3.67,36406171.0
533519,86.45,L&t Finance Holdings Limited,L&TFH,3.16,6237477.0
