nsecode,name,bsecode,close,per_chg,volume
LTF,L&T Finance Ltd,533519,293.25,6.27,13734537
MOTILALOFS,Motilal Oswal Financial Services Limited,532892,939.45,5.74,2438845
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,1653.6,5.45,4372229
PHOENIXLTD,The Phoenix Mills Limited,503100,1846.9,5.08,661437
SHRIRAMFIN,Shriram Finance Ltd,511218,1000.65,4.79,12251483
NAM-INDIA,Nippon Life India Asset Management Ltd,540767,1140.1,4.68,1550884
NUVAMA,Nuvama Wealth Management Ltd,543988,1660.9,4.58,978451
MANAPPURAM,Manappuram Finance Limited,531213,317.65,4.08,2566512
PETRONET,Petronet Lng Limited,532522,285.9,4.06,4766702
BHARATFORG,Bharat Forge Limited,500493,2020.5,3.88,1665028
ANGELONE,Angel One Ltd,,352.3,3.77,14953832
SAMMAANCAP,Sammaan Capital Ltd,535789,180.75,3.63,12331468
VBL,Varun Beverages Limited,540180,541.0,3.6,7594901
MOTHERSON,Samvardhana Motherson International Ltd,517334,148.12,3.29,21819103
360ONE,360 ONE WAM Ltd,542772,1130.8,3.1,2132710
BANDHANBNK,Bandhan Bank Ltd,541153,210.88,3.07,13330721
