nsecode,name,bsecode,close,per_chg,volume
SHRIRAMFIN,Shriram Finance Ltd,511218,954.95,7.75,9760441
MOTILALOFS,Motilal Oswal Financial Services Limited,532892,888.45,6.84,3169428
ABCAPITAL,Aditya Birla Capital Ltd,540691,358.1,6.39,3057116
TIINDIA,Tube Investments of India Ltd,540762,3141.8,5.6,260594
BANDHANBNK,Bandhan Bank Ltd,541153,204.6,5.52,10237548
AUBANK,AU Small Finance Bank Ltd,540611,1015.5,5.42,4077611
NUVAMA,Nuvama Wealth Management Ltd,543988,1588.1,5.16,474650
NYKAA,FSN E-Commerce Ventures Ltd,543384,273.5,5.09,12127542
IDFCFIRSTB,IDFC First Bank Ltd,539437,76.5,4.87,47039199
ANGELONE,Angel One Ltd,,339.5,4.86,7318502
LT,Larsen & Toubro Limited,500510,4049.3,4.85,3065790
CAMS,Computer Age Management Services Ltd,543232,757.55,4.83,910431
NBCC,Nbcc (india) Limited,534309,105.16,4.62,15469674
NAM-INDIA,Nippon Life India Asset Management Ltd,540767,1089.1,4.56,889666
MANAPPURAM,Manappuram Finance Limited,531213,305.2,4.5,2267599
LICHSGFIN,Lic Housing Finance Limited,500253,559.5,4.4,2541823
GVT&D,GE Vernova T&D India Ltd,522275,4942.5,4.38,460629
BSE,BSE (Bombay stock exchange) Ltd,20,4041.1,3.93,2887848
PNBHOUSING,Pnb Housing Finance Limited,540173,989.9,3.77,2049521
TMPV,Tata Motors Passenger Vehicles Ltd,500570,390.0,3.75,7787586
GMRAIRPORT,GMR Airports Ltd,532754,103.65,3.55,19549334
SUZLON,Suzlon Energy Limited,532667,55.08,3.36,64636157
UNIONBANK,Union Bank Of India Ltd,532477,170.05,3.35,13371950
INDUSINDBK,Indusind Bank Limited,532187,917.35,3.19,2663666
360ONE,360 ONE WAM Ltd,542772,1096.8,3.07,696601
BANKINDIA,Bank Of India Ltd,532149,145.68,3.04,9184204
