nsecode,name,bsecode,close,per_chg,volume
PAYTM,One 97 Communications Ltd,543396,1197.4,7.82,14256021
BHARATFORG,Bharat Forge Limited,500493,1992.9,6.36,7055670
BHEL,Bharat Heavy Electricals Limited,500103,406.45,5.31,37208886
BDL,Bharat Dynamics Ltd,541143,1466.9,4.67,2660844
NUVAMA,Nuvama Wealth Management Ltd,543988,1474.5,4.31,980887
CGPOWER,CG Power and Industrial Solutions Ltd,500093,859.1,3.64,13476263
EXIDEIND,Exide Industries Limited,500086,364.45,3.63,11093645
COCHINSHIP,Cochin Shipyard Ltd,540678,1814.7,3.51,3414471
TIINDIA,Tube Investments of India Ltd,540762,3015.5,3.38,347801
HAL,Hindustan Aeronautics Ltd,541154,4782.1,3.35,1889223
MFSL,Max Financial Services Limited,500271,1707.4,3.3,682760
APLAPOLLO,Apl Apollo Tubes Limited,533758,1973.7,3.08,1360049
