nsecode,name,bsecode,per_chg,close,volume
AARTIIND,Aarti Industries Limited,524208,11.0,678.9,15007983
RECLTD,Rural Electrification Corporation Limited,532955,6.43,451.6,22121350
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,542830,6.1,983.8,14486659
MANAPPURAM,Manappuram Finance Limited,531213,5.06,178.4,8708317
PFC,Power Finance Corporation Limited,532810,5.0,412.35,16111152
BHEL,Bharat Heavy Electricals Limited,500103,4.76,222.25,63867429
HINDCOPPER,Hindustan Copper Limited,513599,4.29,264.85,7825737
GODREJCP,Godrej Consumer Products Limited,532424,4.11,1149.25,1538601
CUMMINSIND,Cummins India Limited,500480,4.02,2112.45,700438
INDHOTEL,The Indian Hotels Company Limited,500850,4.01,482.2,4333124
PNB,Punjab National Bank,532461,3.76,102.2,104194911
ONGC,Oil & Natural Gas Corporation Limited,500312,3.64,242.05,26391844
NMDC,Nmdc Limited,526371,3.56,210.85,12839714
BHARTIARTL,Bharti Airtel Limited,532454,3.49,1125.0,11753391
ASTRAL,Astral Poly Technik Limited,532830,3.31,1850.75,623395
ICICIGI,ICICI Lombard General Insurance Company Ltd,540716,3.26,1486.95,1134043
