bsecode,close,name,nsecode,per_chg,volume
532868,390.0,Dlf Limited,DLF,5.43,10834269.0
533273,1006.85,Oberoi Realty Limited,OBEROIRLTY,5.25,1752385.0
503806,2543.4,Srf Limited,SRF,5.13,1348808.0
530005,228.45,The India Cements Limited,INDIACEM,4.99,16385815.0
532187,1107.45,Indusind Bank Limited,INDUSINDBK,4.56,3200407.0
532286,433.35,Jindal Steel & Power Limited,JINDALSTEL,4.16,5451275.0
500477,154.0,Ashok Leyland Limited,ASHOKLEY,3.95,25272576.0
500570,471.1,Tata Motors Limited,TATAMOTORS,3.92,14421066.0
500877,251.7,Apollo Tyres Limited,APOLLOTYRE,3.82,3792772.0
532174,887.3,Icici Bank Limited,ICICIBANK,3.67,12544701.0
532134,130.85,Bank Of Baroda,BANKBARODA,3.6,27509622.0
517354,1391.5,Havells India Limited,HAVELLS,3.57,1448064.0
500247,1915.45,Kotak Mahindra Bank Limited,KOTAKBANK,3.54,3885850.0
500469,117.0,The Federal Bank  Limited,FEDERALBNK,3.45,26076777.0
500251,1407.25,Trent Limited,TRENT,3.42,1311053.0
500010,2446.4,Housing Development Finance Corporation Limited,HDFC,3.4,3085257.0
500696,2659.85,Hindustan Unilever Limited,HINDUNILVR,3.26,2227943.0
500180,1486.1,Hdfc Bank Limited,HDFCBANK,3.24,5067700.0
500483,1202.25,Tata Communications Limited,TATACOMM,3.23,808362.0
500112,531.25,State Bank Of India,SBIN,3.19,14835308.0
500670,750.45,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,3.16,2499816.0
532215,751.5,Axis Bank Limited,AXISBANK,3.13,9193270.0
500043,1941.25,Bata India Limited,BATAINDIA,3.11,531892.0
532720,205.6,Mahindra & Mahindra Financial Services Limited,M&MFIN,3.01,3129625.0
