nsecode,name,bsecode,per_chg,close,volume
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,542830,12.59,879.15,36365109
SIEMENS,Siemens Limited,500550,5.94,4139.25,1644295
ZYDUSLIFE,Zydus Lifesciences Ltd,532321,5.37,680.6,6969702
HINDCOPPER,Hindustan Copper Limited,513599,5.15,197.05,22810170
IBULHSGFIN,Indiabulls Housing Finance Limited,535789,4.86,232.05,46159197
NATIONALUM,National Aluminium Company Limited,532234,4.34,115.5,76529017
SAIL,Steel Authority Of India Limited,500113,3.59,115.45,78649010
LAURUSLABS,Laurus Labs Limited,540222,3.54,399.35,4243145
GRANULES,Granules India Limited,532482,3.5,402.3,4433684
EXIDEIND,Exide Industries Limited,500086,3.32,305.35,7197317
BHEL,Bharat Heavy Electricals Limited,500103,3.22,187.4,25404383
