nsecode,name,bsecode,per_chg,close,volume
LTF,L&T Finance Ltd,533519,5.91,168.45,14435252
M&M,Mahindra & Mahindra Limited,500520,5.84,2857.45,6447821
WIPRO,Wipro Limited,507685,5.11,484.55,36336220
BSOFT,Birlasoft Ltd,532400,4.86,678.15,7518741
TECHM,Tech Mahindra Limited,532755,4.57,1377.6,5790599
JKCEMENT,Jk Cement Limited,532644,4.34,4187.1,304838
PERSISTENT,Persistent Systems Limited,533179,4.22,3850.25,1005726
INFY,Infosys Limited,500209,4.17,1533.6,24075302
BHARTIARTL,Bharti Airtel Limited,532454,3.99,1425.25,12280748
TATASTEEL,Tata Steel Limited,500470,3.98,178.9,84319867
BALRAMCHIN,Balrampur Chini Mills Limited,500038,3.64,400.4,4873537
TATAMOTORS,Tata Motors Limited,500570,3.44,970.5,15577866
GUJGASLTD,Gujarat Gas Limited,539336,3.08,588.7,2508425
BALKRISIND,Balkrishna Industries Limited,502355,3.0,3201.9,513847
