nsecode,name,bsecode,close,per_chg,volume
DELHIVERY,Delhivery Ltd,543529,507.7,7.55,18031256
ETERNAL,Eternal Ltd,543320,279.7,5.71,66845146
PAYTM,One 97 Communications Ltd,543396,1203.7,5.45,4234770
GODREJPROP,Godrej Properties Limited,533150,1959.6,4.98,1013165
MCX,Multi Commodity Exchange Of India Limited,534091,2962.0,4.4,5251828
PRESTIGE,Prestige Estates Projects Limited,533274,1625.3,3.88,1058054
PHOENIXLTD,The Phoenix Mills Limited,503100,2018.5,3.59,836239
ADANIENT,Adani Enterprises Limited,512599,3143.6,3.54,3415655
HDFCAMC,HDFC Asset Management Company Ltd,541729,2745.8,3.49,1139695
NESTLEIND,Nestle India Limited,500790,1453.8,3.46,2672318
POLICYBZR,PB Fintech Ltd,543390,1684.2,3.41,1056784
ASIANPAINT,Asian Paints Limited,500820,2716.4,3.06,1097512
