nsecode,name,bsecode,per_chg,close,volume
MOTHERSON,Motherson Sumi Systems Limited,517334,5.65,99.4,30083383
IIFL,Iifl Holdings Limited,532636,5.1,471.9,2263754
PAYTM,One 97 Communications Ltd,543396,4.46,1226.2,7923718
EXIDEIND,Exide Industries Limited,500086,4.38,392.8,24457473
BANDHANBNK,Bandhan Bank Ltd,541153,4.1,174.01,7951208
NYKAA,FSN E-Commerce Ventures Ltd,543384,3.5,226.83,8440492
TIINDIA,Tube Investments of India Ltd,540762,3.32,3152.4,339925
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,3.18,1369.4,3150673
LTF,L&T Finance Ltd,533519,3.13,217.03,9449871
