nsecode,name,bsecode,close,per_chg,volume
SIEMENS,Siemens Limited,500550,3576.1,6.96,2134727
ANGELONE,Angel One Ltd,,297.76,6.17,21051102
GMRAIRPORT,GMR Airports Ltd,532754,99.22,4.53,21552860
CGPOWER,CG Power and Industrial Solutions Ltd,500093,748.0,4.45,4100236
BANDHANBNK,Bandhan Bank Ltd,541153,173.77,4.22,11535345
POWERGRID,Power Grid Corporation Of India Limited,532898,312.45,4.03,21897202
NAM-INDIA,Nippon Life India Asset Management Ltd,540767,951.55,3.94,2030665
MOTHERSON,Samvardhana Motherson International Ltd,517334,123.55,3.73,24891005
JSWENERGY,Jsw Energy Limited,533148,528.2,3.65,6245890
HINDALCO,Hindalco Industries Limited,500440,1011.45,3.39,11075349
MFSL,Max Financial Services Limited,500271,1699.5,3.23,895274
HINDZINC,Hindustan Zinc Limited,500188,580.5,3.19,7750446
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,1511.8,3.17,4415637
KEI,Kei Industries Limited,517569,4598.5,3.14,279299
MCX,Multi Commodity Exchange Of India Limited,534091,2851.1,3.09,4612212
LT,Larsen & Toubro Limited,500510,4076.3,3.09,4562142
TATAPOWER,Tata Power Company Limited,500400,421.85,3.0,17610989
