nsecode,name,bsecode,per_chg,close,volume
EXIDEIND,Exide Industries Limited,500086,17.18,377.15,74073530
VOLTAS,Voltas Limited,500575,6.05,1306.85,10761579
LAURUSLABS,Laurus Labs Limited,540222,5.27,462.45,4779643
GAIL,Gail (india) Limited,532155,5.24,200.75,56272730
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,4.39,327.8,28736885
EICHERMOT,Eicher Motors Limited,505200,4.33,4205.75,2165986
GODREJPROP,Godrej Properties Limited,533150,3.53,2588.6,3336851
IDFC,Idfc Limited,532659,3.36,121.45,11248342
IGL,Indraprastha Gas Limited,532514,3.31,475.35,6406210
M&M,Mahindra & Mahindra Limited,500520,3.22,2078.1,2781568
GUJGASLTD,Gujarat Gas Limited,539336,3.11,565.4,2292137
